"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C5","2","10n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2,C6,C8","3","4u7","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3,C10,C11,C22,C29","5","100n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4","1","0u47","","","","Capacitor_SMD:C_0402_1005Metric",""
"C7","1","3F3","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C9","1","1u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C12","1","470n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C13","1","47n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C14,C23","2","1p8","","","","Capacitor_SMD:C_0402_1005Metric",""
"C15","1","47p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C16","1","2p4","","","","Capacitor_SMD:C_0402_1005Metric",""
"C19","1","3p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C20","1","5p6","","","","Capacitor_SMD:C_0402_1005Metric",""
"C21,C26","2","39p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C24,C25","2","1n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C27,C28","2","3p3","","","","Capacitor_SMD:C_0402_1005Metric",""
"J1","1","Conn_01x05","","","","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical_SMD_Pin1Left",""
"J2","1","Conn_01x05","","","","Connector_PinHeader_1.27mm:PinHeader_1x05_P1.27mm_Vertical",""
"J3","1","Conn_Coaxial","","","","Connector_Coaxial:MMCX_Molex_73415-1471_Vertical",""
"L1","1","22u","","","","Inductor_SMD:L_Wuerth_LQFS-3818",""
"L2","1","47n","","","","Inductor_SMD:L_0603_1608Metric",""
"L3","1","0R","","","","Inductor_SMD:L_0402_1005Metric",""
"L4","1","15n","","","","Inductor_SMD:L_0402_1005Metric",""
"L5","1","47n","","","","Inductor_SMD:L_0402_1005Metric",""
"L6","1","2n5","","","","Inductor_SMD:L_0402_1005Metric",""
"L7","1","4n7","","","","Inductor_SMD:L_0402_1005Metric",""
"L8","1","9n1","","","","Inductor_SMD:L_0402_1005Metric",""
"Q1","1","Si2301CDS","","","","PCM_Package_TO_SOT_SMD_AKL:SOT-23","https://www.tme.eu/Document/519498819e90b407235adccdceba4014/SI2301CDS-T1-GE3.pdf"
"R1","1","47K","","","","Resistor_SMD:R_0402_1005Metric",""
"R2,R3,R4,R5,R6,R7,R8,R9,R10","9","R","","","","Resistor_SMD:R_0402_1005Metric",""
"R11,R12","2","100K","","","","Resistor_SMD:R_0402_1005Metric",""
"R13","1","10K","","","","Resistor_SMD:R_0402_1005Metric",""
"R14,R15","2","4K7","","","","Resistor_SMD:R_0402_1005Metric",""
"R16,R17","2","100R","","","","Resistor_SMD:R_0402_1005Metric",""
"SC1","1","KXOB121K04F-TR","","","","Custom_Footprint_Purchase:KXOB121K04F-TR",""
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_Pad_D1.5mm",""
"U1","1","MSPM0L110x","","","","Package_DFN_QFN:VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias","https://www.ti.com/lit/gpn/mspm0l1105"
"U2","1","BQ25504","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias","http://www.ti.com/lit/ds/symlink/bq25504.pdf"
"U3","1","SX1262IMLTRT","","","","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","https://semtech.file.force.com/sfc/dist/version/download/?oid=00DE0000000JelG&ids=0682R00000IjPWSQA3&d=%2Fa%2F2R000000Un7F%2FyT.fKdAr9ZAo3cJLc4F2cBdUsMftpT2vsOICP7NmvMo"
"U4","1","PE4259","","","","Package_TO_SOT_SMD:SOT-363_SC-70-6","4259-63"
"U5","1","SHT4x","","","","Sensor_Humidity:Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad","https://sensirion.com/media/documents/33FD6951/624C4357/Datasheet_SHT4x.pdf"
"U7","1","LPS22HH","","","","Package_LGA:ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y","https://www.st.com/resource/en/datasheet/lps22hh.pdf"
"Y1","1","Crystal_GND24","","","","Crystal:Crystal_SMD_2520-4Pin_2.5x2.0mm",""
