Ref,Val,Package,PosX,PosY,Rot,Side
"SC1","KXOB121K04F-TR","KXOB121K04F-TR",0.000000,0.000000,0.000000,bottom
"C1","10n","C_0402_1005Metric",3.260000,-4.410000,180.000000,top
"C2","4u7","C_0402_1005Metric",3.870000,-1.830000,180.000000,top
"C3","100n","C_0402_1005Metric",3.610000,-0.890000,180.000000,top
"C4","0u47","C_0402_1005Metric",0.660000,-4.075000,-90.000000,top
"C5","10n","C_0402_1005Metric",-3.590000,-3.100000,90.000000,top
"C6","4u7","C_0402_1005Metric",-3.140000,-5.410000,180.000000,top
"C8","4u7","C_0402_1005Metric",-5.580000,-7.400000,0.000000,top
"C9","1u","C_0402_1005Metric",-2.920000,8.890000,-90.000000,top
"C10","100n","C_0402_1005Metric",-5.580000,-8.320000,0.000000,top
"C11","100n","C_0402_1005Metric",-7.609738,4.350000,90.000000,top
"C12","470n","C_0402_1005Metric",-8.210000,6.890000,90.000000,top
"C13","47n","C_0402_1005Metric",-0.540000,8.530000,90.000000,top
"C14","1p8","C_0402_1005Metric",0.160000,4.900000,0.000000,top
"C15","47p","C_0402_1005Metric",-1.460000,8.530000,90.000000,top
"C16","2p4","C_0402_1005Metric",0.160000,5.820000,180.000000,top
"C19","3p","C_0402_1005Metric",2.700000,7.890000,180.000000,top
"C20","5p6","C_0402_1005Metric",4.122500,7.681418,-90.000000,top
"C21","39p","C_0402_1005Metric",4.602500,6.310000,180.000000,top
"C22","100n","C_0402_1005Metric",6.300000,-8.970000,-90.000000,top
"C23","1p8","C_0402_1005Metric",5.990262,5.960000,90.000000,top
"C24","1n","C_0402_1005Metric",8.740262,7.960000,-90.000000,top
"C25","1n","C_0402_1005Metric",7.952500,3.444504,90.000000,top
"C26","39p","C_0402_1005Metric",9.802500,4.970000,90.000000,top
"C27","3p3","C_0402_1005Metric",8.872500,3.434504,90.000000,top
"C28","3p3","C_0402_1005Metric",8.420000,1.804504,0.000000,top
"C29","100n","C_0402_1005Metric",6.250000,-6.302004,90.000000,top
"J1","Conn_01x05","PinHeader_1x05_P1.27mm_Vertical_SMD_Pin1Left",4.660000,10.240000,90.000000,top
"L1","22u","L_Wuerth_LQFS-3818",-2.280000,-8.130000,180.000000,top
"L2","47n","L_0603_1608Metric",-9.409946,6.956406,-90.000000,top
"L3","0R","L_0402_1005Metric",-1.010000,6.950000,0.000000,top
"L4","15n","L_0402_1005Metric",-1.220000,5.555000,-90.000000,top
"L5","47n","L_0402_1005Metric",0.390000,7.220000,-90.000000,top
"L6","2n5","L_0402_1005Metric",2.705000,6.950000,0.000000,top
"L7","4n7","L_0402_1005Metric",5.505262,7.340000,0.000000,top
"L8","9n1","L_0402_1005Metric",9.802500,3.135000,-90.000000,top
"Q1","Si2301CDS","SOT-23",3.110000,-9.460000,0.000000,top
"R1","47K","R_0402_1005Metric",3.280000,-3.470000,180.000000,top
"R2","R","R_0402_1005Metric",-6.540000,0.340000,0.000000,top
"R3","R","R_0402_1005Metric",-2.660000,-3.080000,90.000000,top
"R4","R","R_0402_1005Metric",-5.140000,-0.140000,90.000000,top
"R5","R","R_0402_1005Metric",-6.540000,-0.600000,180.000000,top
"R6","R","R_0402_1005Metric",-9.240000,-4.480000,180.000000,top
"R7","R","R_0402_1005Metric",-5.920000,-1.540000,0.000000,top
"R8","R","R_0402_1005Metric",-9.060000,-2.510000,0.000000,top
"R9","R","R_0402_1005Metric",-9.250000,-3.540000,0.000000,top
"R10","R","R_0402_1005Metric",-3.110000,-4.480000,180.000000,top
"R11","100K","R_0402_1005Metric",3.170000,1.200000,90.000000,top
"R12","100K","R_0402_1005Metric",0.930000,-9.940000,90.000000,top
"R13","10K","R_0402_1005Metric",0.940000,-8.060000,90.000000,top
"R14","4K7","R_0402_1005Metric",1.180000,-6.280000,180.000000,top
"R15","4K7","R_0402_1005Metric",2.570000,-5.340000,0.000000,top
"R16","100R","R_0402_1005Metric",9.680000,7.950000,90.000000,top
"R17","100R","R_0402_1005Metric",7.022500,3.424504,-90.000000,top
"U1","MSPM0L110x","VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias",0.070000,-0.520000,180.000000,top
"U2","BQ25504","VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias",-6.180000,-4.730000,180.000000,top
"U3","SX1262IMLTRT","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",-4.540000,5.370000,-90.000000,top
"U4","PE4259","SOT-363_SC-70-6",7.897762,5.450000,0.000000,top
"U5","SHT4x","Sensirion_DFN-4_1.5x1.5mm_P0.8mm_SHT4x_NoCentralPad",7.960000,-8.964504,180.000000,top
"U7","LPS22HH","ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",7.960000,-5.964504,90.000000,top
"Y1","Crystal_GND24","Crystal_SMD_2520-4Pin_2.5x2.0mm",-5.255000,10.530000,0.000000,top
